#,DEX,ID,NAME,FAST,CHARGE,Fast DPS,Charge DPS,Useless,Weave DPS,Fast%,NOTES,OFF %,DEF %, ,Comb Rank,DPS,OFF TDO,OFF TDO %,DEF TDO,DEF TDO %,EHP,MAX CP,,Comb Rank_1,EHP_1,DPS_1,OFF TDO_1,,Comb Rank_3,EHP_3,DPS_3,OFF TDO_3
2575,215,233,Sneasel,Ice Shard,Avalanche,6.3,19.8,,12.5,54%,,97%,100%,,2285,12.5,232,32.2%,185,37.0%,96,2051,,2556,96,12.5,232,,3266,96,7.8,145
2576,215,233,Sneasel,Ice Shard,Ice Punch,6.3,15.6,,10.8,51%,,84%,82%,,2739,10.8,200,27.8%,153,30.5%,96,2051,,2841,96,10.8,200,,3490,96,6.8,125
2577,215,233,Sneasel,Ice Shard,Foul Play,6.3,20.7,,11.8,62%,,91%,87%,,2546,11.8,218,30.3%,161,32.1%,96,2051,,2673,96,11.8,218,,2763,96,10.3,191
2578,215,233,Sneasel,Feint Attack,Avalanche,7.1,19.8,,12.9,54%,,100%,99%,,2269,12.9,239,33.2%,183,36.4%,96,2051,,2477,96,12.9,239,,2944,96,9.5,176
2579,215,233,Sneasel,Feint Attack,Ice Punch,7.1,15.6,,11.2,52%,,87%,82%,,2705,11.2,207,28.7%,152,30.3%,96,2051,,2774,96,11.2,207,,3167,96,8.4,155
2580,215,233,Sneasel,Feint Attack,Foul Play,7.1,20.7,,12.2,62%,,95%,85%,,2528,12.2,226,31.4%,158,31.6%,96,2051,,2604,96,12.2,226,,2362,96,12.2,226
2581,216,234,Teddiursa,Scratch,Cross Chop,6.2,12.7,,8.3,68%,,91%,66%,,3875,8.3,110,15.3%,65,12.9%,69,1328,,3463,69,10.7,142,,3655,69,8.3,110
2582,216,234,Teddiursa,Scratch,Crunch,6.2,8.5,,7.8,31%,,85%,80%,,3805,7.8,103,14.3%,77,15.4%,69,1328,,3833,69,7.8,103,,3726,69,7.8,103
2583,216,234,Teddiursa,Scratch,Play Rough,6.2,11.9,,9.1,50%,,100%,91%,,3639,9.1,121,16.8%,88,17.5%,69,1328,,3658,69,9.1,121,,3525,69,9.1,121
2584,216,234,Teddiursa,Lick,Cross Chop,4.6,12.7,,7.6,63%,,83%,72%,,3883,7.6,101,14.0%,70,14.0%,69,1328,,3713,69,8.6,114,,3755,69,7.6,101
2585,216,234,Teddiursa,Lick,Crunch,4.6,8.5,,7.4,27%,,82%,85%,,3784,7.4,99,13.7%,83,16.5%,69,1328,,4000,69,6.7,89,,3773,69,7.4,99
2586,216,234,Teddiursa,Lick,Play Rough,4.6,11.9,,8.7,44%,,95%,100%,,3597,8.7,115,16.0%,97,19.4%,69,1328,,3870,69,7.4,99,,3595,69,8.7,115
2587,217,235,Ursaring,Metal Claw,Close Combat,7.5,26.4,,12.1,76%,,79%,68%,,1845,12.1,305,42.4%,191,38.1%,131,2945,,1025,131,16.0,403,,2106,131,10.0,252
2588,217,235,Ursaring,Metal Claw,Hyper Beam,7.5,29.0,,15.1,65%,,98%,98%,,890,15.1,379,52.6%,276,55.1%,131,2945,,1196,131,15.1,379,,1434,131,13.2,334
2589,217,235,Ursaring,Metal Claw,Play Rough,7.5,19.0,,13.0,52%,,84%,90%,,1295,13.0,327,45.4%,255,50.8%,131,2945,,1631,131,13.0,327,,1759,131,11.5,290
2590,217,235,Ursaring,Counter,Close Combat,8.6,26.4,,12.7,77%,,82%,72%,,1664,12.7,319,44.3%,203,40.5%,131,2945,,429,131,20.3,511,,1532,131,12.7,319
2591,217,235,Ursaring,Counter,Hyper Beam,8.6,29.0,,15.4,67%,,100%,100%,,795,15.4,388,53.8%,282,56.2%,131,2945,,562,131,18.8,474,,1077,131,15.4,388
2592,217,235,Ursaring,Counter,Play Rough,8.6,19.0,,13.3,54%,,87%,91%,,1235,13.3,336,46.6%,258,51.4%,131,2945,,1000,131,16.1,406,,1418,131,13.3,336
2593,217,235,Ursaring,Shadow Claw,Close Combat,8.4,26.4,,12.4,78%,,81%,70%,,1761,12.4,312,43.3%,198,39.5%,131,2945,,1872,131,12.0,303,,1579,131,12.4,312
2594,217,235,Ursaring,Shadow Claw,Hyper Beam,8.4,29.0,,15.1,67%,,98%,100%,,848,15.1,380,52.8%,282,56.2%,131,2945,,1944,131,11.7,294,,1125,131,15.1,380
2595,217,235,Ursaring,Shadow Claw,Play Rough,8.4,19.0,,13.1,55%,,85%,92%,,1259,13.1,331,45.9%,260,51.9%,131,2945,,2236,131,10.3,261,,1450,131,13.1,331
2596,218,236,Slugma,Ember,Flame Burst,4.3,10.5,,7.6,47%,,99%,100%,,4248,7.6,64,8.9%,59,11.8%,44,895,,4311,44,7.6,64,,4702,27,4.8,25
2597,218,236,Slugma,Ember,Flame Charge,4.3,7.3,,6.8,17%,,88%,91%,,4355,6.8,57,7.9%,54,10.7%,44,895,,4440,44,6.8,57,,4721,27,4.2,22
2598,218,236,Slugma,Ember,Rock Slide,4.3,9.7,,7.2,45%,,94%,94%,,4291,7.2,61,8.5%,56,11.2%,44,895,,4361,44,7.2,61,,4628,27,6.5,34
2599,218,236,Slugma,Rock Throw,Flame Burst,4.8,10.5,,7.7,49%,,100%,93%,,4279,7.7,65,9.0%,55,11.0%,44,895,,4304,44,7.7,65,,4667,27,5.7,30
2600,218,236,Slugma,Rock Throw,Flame Charge,4.8,7.3,,6.8,19%,,88%,87%,,4375,6.8,57,8.0%,51,10.3%,44,895,,4434,44,6.8,57,,4701,27,4.8,25
2601,218,236,Slugma,Rock Throw,Rock Slide,4.8,9.7,,7.3,48%,,95%,88%,,4323,7.3,62,8.6%,52,10.4%,44,895,,4354,44,7.3,62,,4591,27,7.3,39
2602,219,237,Magcargo,Ember,Heat Wave,4.9,14.3,,7.6,71%,,76%,73%,,3286,7.6,168,23.3%,108,21.6%,115,1702,,2160,184,7.6,269,,4571,45,4.8,41
2603,219,237,Magcargo,Ember,Overheat,4.9,18.1,,9.5,65%,,95%,99%,,2729,9.5,210,29.2%,147,29.3%,115,1702,,1564,184,9.5,337,,4415,45,6.0,51
2604,219,237,Magcargo,Ember,Stone Edge,4.9,19.5,,8.3,77%,,83%,77%,,3139,8.3,184,25.5%,115,22.9%,115,1702,,1940,184,8.3,295,,4255,45,6.9,60
2605,219,237,Magcargo,Rock Throw,Heat Wave,6.4,14.3,,8.4,75%,,84%,76%,,3147,8.4,185,25.7%,113,22.5%,115,1702,,1926,184,8.4,296,,4240,45,7.1,61
2606,219,237,Magcargo,Rock Throw,Overheat,6.4,18.1,,10.0,69%,,100%,100%,,2628,10.0,221,30.7%,148,29.5%,115,1702,,1453,184,10.0,354,,4138,45,7.9,68
2607,219,237,Magcargo,Rock Throw,Stone Edge,6.4,19.5,,9.1,80%,,91%,81%,,3040,9.1,200,27.8%,119,23.8%,115,1702,,1685,184,9.1,320,,4005,45,9.1,78
2608,220,238,Swinub,Tackle,Icy Wind,3.4,5.7,,5.2,22%,,90%,76%,,4559,5.2,49,6.7%,39,7.7%,49,741,,4540,49,5.2,49,,4725,30,3.5,21
2609,220,238,Swinub,Tackle,Body Slam,3.4,6.8,,5.4,41%,,94%,67%,,4599,5.4,51,7.0%,34,6.8%,49,741,,4507,49,5.4,51,,4650,30,5.4,32
2610,220,238,Swinub,Tackle,Rock Slide,3.4,7.7,,5.8,44%,,100%,80%,,4478,5.8,54,7.5%,41,8.1%,49,741,,4469,49,5.8,54,,4631,30,5.8,34
2611,220,238,Swinub,Powder Snow,Icy Wind,2.3,5.7,,5.1,18%,,88%,89%,,4476,5.1,47,6.6%,45,9.1%,49,741,,4555,49,5.1,47,,4736,30,3.2,19
2612,220,238,Swinub,Powder Snow,Body Slam,2.3,6.8,,5.2,35%,,90%,82%,,4501,5.2,49,6.8%,42,8.3%,49,741,,4535,49,5.2,49,,4676,30,4.9,29
2613,220,238,Swinub,Powder Snow,Rock Slide,2.3,7.7,,5.6,39%,,97%,100%,,4423,5.6,52,7.2%,51,10.2%,49,741,,4485,49,5.6,52,,4656,30,5.3,31
2614,221,239,Piloswine,Ice Shard,Avalanche,6.1,19.1,,12.1,53%,,100%,100%,,1316,12.1,319,44.2%,258,51.4%,136,2345,,1708,136,12.1,319,,3495,85,7.6,124
2615,221,239,Piloswine,Ice Shard,Bulldoze,6.1,13.2,,9.9,46%,,82%,86%,,1850,9.9,260,36.1%,221,44.0%,136,2345,,2237,136,9.9,260,,3262,85,8.9,146
2616,221,239,Piloswine,Ice Shard,Stone Edge,6.1,20.6,,9.7,75%,,80%,69%,,2215,9.7,255,35.4%,177,35.3%,136,2345,,2288,136,9.7,255,,3409,85,8.0,131
2617,221,239,Piloswine,Powder Snow,Avalanche,3.9,19.1,,12.1,46%,,100%,98%,,1338,12.1,318,44.1%,253,50.5%,136,2345,,1712,136,12.1,318,,3498,85,7.6,124
2618,221,239,Piloswine,Powder Snow,Bulldoze,3.9,13.2,,9.6,38%,,79%,83%,,1928,9.6,252,35.0%,214,42.7%,136,2345,,2336,136,9.6,252,,3223,85,9.0,148
2619,221,239,Piloswine,Powder Snow,Stone Edge,3.9,20.6,,9.1,69%,,75%,62%,,2455,9.1,239,33.1%,160,31.9%,136,2345,,2481,136,9.1,239,,3395,85,8.1,133
2620,222,240,Corsola,Tackle,Rock Blast,4.1,9.3,,6.7,50%,,88%,83%,,3523,6.7,131,18.2%,99,19.8%,102,1378,,2748,163,6.7,210,,3411,102,6.7,131
2621,222,240,Corsola,Tackle,Power Gem,4.1,10.8,,7.2,53%,,95%,100%,,3365,7.2,141,19.6%,119,23.8%,102,1378,,2605,163,7.2,226,,3320,102,7.2,141
2622,222,240,Corsola,Tackle,Bubble Beam,4.1,9.3,,6.5,53%,,86%,78%,,3572,6.5,128,17.7%,93,18.6%,102,1378,,2799,163,6.5,204,,3810,102,4.9,96
2623,222,240,Corsola,Bubble,Rock Blast,4.3,9.3,,7.0,46%,,92%,87%,,3472,7.0,137,19.0%,104,20.8%,102,1378,,2665,163,7.0,219,,3517,102,6.2,122
2624,222,240,Corsola,Bubble,Power Gem,4.3,10.8,,7.6,49%,,100%,98%,,3355,7.6,148,20.6%,117,23.3%,102,1378,,2510,163,7.6,237,,3396,102,6.8,133
2625,222,240,Corsola,Bubble,Bubble Beam,4.3,9.3,,6.8,49%,,90%,82%,,3517,6.8,133,18.5%,98,19.6%,102,1378,,2707,163,6.8,213,,3930,102,4.2,83
2626,223,241,Remoraid,Water Gun,Aurora Beam,4.9,7.9,,6.9,35%,,91%,86%,,4480,6.9,53,7.3%,41,8.2%,40,912,,4483,40,6.9,53,,4390,64,4.3,53
2627,223,241,Remoraid,Water Gun,Water Pulse,4.9,9.2,,7.5,38%,,100%,93%,,4438,7.5,58,8.1%,45,8.9%,40,912,,4424,40,7.5,58,,4308,64,4.7,58
2628,223,241,Remoraid,Water Gun,Rock Blast,4.9,8.3,,7.0,37%,,94%,77%,,4528,7.0,54,7.5%,37,7.4%,40,912,,4466,40,7.0,54,,4001,64,6.4,78
2629,223,241,Remoraid,Mud Shot,Aurora Beam,3.6,7.9,,6.4,33%,,86%,92%,,4475,6.4,50,6.9%,44,8.8%,40,912,,4520,40,6.4,50,,4348,64,4.5,55
2630,223,241,Remoraid,Mud Shot,Water Pulse,3.6,9.2,,7.1,37%,,94%,100%,,4433,7.1,55,7.6%,48,9.6%,40,912,,4458,40,7.1,55,,4243,64,4.9,61
2631,223,241,Remoraid,Mud Shot,Rock Blast,3.6,8.3,,6.6,36%,,88%,81%,,4532,6.6,51,7.1%,39,7.8%,40,912,,4504,40,6.6,51,,3953,64,6.6,82
2632,224,242,Octillery,Water Gun,Gunk Shot,6.9,21.6,,11.4,70%,,100%,100%,,2080,11.4,248,34.3%,196,39.0%,113,2315,,2380,113,11.4,248,,1438,181,9.6,333
2633,224,242,Octillery,Water Gun,Water Pulse,6.9,13.6,,10.3,49%,,91%,93%,,2351,10.3,224,31.1%,182,36.4%,113,2315,,2619,113,10.3,224,,2396,181,6.4,224
2634,224,242,Octillery,Water Gun,Aurora Beam,6.9,11.7,,9.5,46%,,83%,86%,,2552,9.5,206,28.6%,168,33.6%,113,2315,,2777,113,9.5,206,,2579,181,5.9,206
2635,224,242,Octillery,Water Gun,Acid Spray,6.9,3.6,,5.3,51%,,61%,31%,,3681,6.9,150,20.8%,61,12.2%,113,2315,,3398,113,6.9,150,,3209,181,4.3,150
2636,224,242,Octillery,Mud Shot,Gunk Shot,5.0,21.6,,10.5,67%,,92%,81%,,2519,10.5,228,31.6%,159,31.6%,113,2315,,2588,113,10.5,228,,1224,181,10.5,365
2637,224,242,Octillery,Mud Shot,Water Pulse,5.0,13.6,,9.6,46%,,84%,87%,,2524,9.6,209,29.0%,171,34.1%,113,2315,,2755,113,9.6,209,,2248,181,6.9,239
2638,224,242,Octillery,Mud Shot,Aurora Beam,5.0,11.7,,8.8,43%,,77%,81%,,2742,8.8,192,26.6%,159,31.7%,113,2315,,2939,113,8.8,192,,2455,181,6.3,220
2639,224,242,Octillery,Mud Shot,Acid Spray,5.0,3.6,,4.2,48%,,44%,29%,,3964,5.0,108,15.0%,57,11.3%,113,2315,,3778,113,5.0,108,,2975,181,5.0,173
2640,225,243,Delibird,Ice Shard,Ice Punch,4.5,11.0,,8.1,46%,IMPOSSIBLE,100%,100%,,3908,8.1,88,12.2%,76,15.2%,57,1094,,4011,57,8.1,88,,4351,57,5.0,55
2641,225,243,Delibird,Ice Shard,Icy Wind,4.5,7.7,,6.8,27%,IMPOSSIBLE,85%,93%,,4048,6.8,75,10.4%,71,14.2%,57,1094,,4195,57,6.8,75,,4496,57,4.3,47
2642,225,243,Delibird,Ice Shard,Aerial Ace,4.5,9.6,,7.7,38%,IMPOSSIBLE,96%,99%,,3941,7.7,84,11.7%,76,15.1%,57,1094,,4051,57,7.7,84,,4016,57,7.1,77
2643,225,243,Delibird,Quick Attack,Ice Punch,4.0,11.0,,8.1,42%,IMPOSSIBLE,100%,96%,,3940,8.1,88,12.2%,73,14.6%,57,1094,,4010,57,8.1,88,,4231,57,5.7,62
2644,225,243,Delibird,Quick Attack,Icy Wind,4.0,7.7,,6.8,25%,IMPOSSIBLE,84%,90%,,4078,6.8,74,10.3%,69,13.7%,57,1094,,4201,57,6.8,74,,4426,57,4.6,50
2645,225,243,Delibird,Quick Attack,Aerial Ace,4.0,9.6,,7.7,35%,IMPOSSIBLE,95%,96%,,3968,7.7,84,11.6%,73,14.6%,57,1094,,4053,57,7.7,84,,3922,57,7.7,84
2646,225,243,Delibird,Present,Ice Punch,1.7,11.0,,7.4,38%,,92%,97%,,3982,7.4,81,11.3%,74,14.8%,57,1094,,4087,57,7.4,81,,4375,57,4.9,54
2647,225,243,Delibird,Present,Icy Wind,1.7,7.7,,6.4,22%,,79%,94%,,4071,6.4,70,9.7%,72,14.4%,57,1094,,4253,57,6.4,70,,4514,57,4.1,45
2648,225,243,Delibird,Present,Aerial Ace,1.7,9.6,,7.2,31%,,89%,100%,,3980,7.2,78,10.9%,76,15.2%,57,1094,,4143,57,7.2,78,,4004,57,7.2,78
2649,226,244,Mantine,Bubble,Water Pulse,5.1,10.5,,7.8,50%,,94%,96%,,2361,7.8,234,32.5%,174,34.6%,155,2108,,2538,155,7.8,234,,2294,248,4.9,234
2650,226,244,Mantine,Bubble,Ice Beam,5.1,10.9,,8.1,49%,,97%,100%,,2264,8.1,242,33.5%,181,36.1%,155,2108,,2430,155,8.1,242,,2221,248,5.1,242
2651,226,244,Mantine,Bubble,Aerial Ace,5.1,11.0,,8.3,46%,,100%,100%,,2216,8.3,248,34.4%,182,36.2%,155,2108,,2362,155,8.3,248,,1280,248,7.4,355
2652,226,244,Mantine,Wing Attack,Water Pulse,5.3,10.5,,7.9,51%,,95%,86%,,2500,7.9,235,32.5%,156,31.2%,155,2108,,2531,155,7.9,235,,1835,248,5.9,282
2653,226,244,Mantine,Wing Attack,Ice Beam,5.3,10.9,,8.1,50%,,98%,90%,,2409,8.1,242,33.6%,163,32.6%,155,2108,,2428,155,8.1,242,,1779,248,6.0,289
2654,226,244,Mantine,Wing Attack,Aerial Ace,5.3,11.0,,8.3,47%,,100%,92%,,2341,8.3,248,34.4%,167,33.3%,155,2108,,2360,155,8.3,248,,1027,248,8.3,397
2655,226,244,Mantine,Bullet Seed,Water Pulse,3.3,10.5,,7.1,48%,,85%,86%,,2624,7.1,211,29.2%,156,31.1%,155,2108,,2740,155,7.1,211,,1821,248,5.9,284
2656,226,244,Mantine,Bullet Seed,Ice Beam,3.3,10.9,,7.3,47%,,88%,90%,,2526,7.3,219,30.4%,164,32.7%,155,2108,,2664,155,7.3,219,,1751,248,6.1,291
2657,226,244,Mantine,Bullet Seed,Aerial Ace,3.3,11.0,,7.6,44%,,91%,92%,,2464,7.6,227,31.5%,167,33.3%,155,2108,,2595,155,7.6,227,,991,248,8.5,405
2658,227,245,Skarmory,Steel Wing,Brave Bird,7.0,21.2,,9.4,83%,,89%,75%,,2283,9.4,282,39.1%,151,30.2%,155,2108,,670,248,9.4,451,,2494,155,7.2,216
2659,227,245,Skarmory,Steel Wing,Sky Attack,7.0,18.9,,10.6,70%,,100%,94%,,1789,10.6,316,43.9%,191,38.1%,155,2108,,440,248,10.6,506,,2029,155,8.7,261
2660,227,245,Skarmory,Steel Wing,Flash Cannon,7.0,17.6,,9.3,78%,,88%,77%,,2270,9.3,278,38.6%,156,31.0%,155,2108,,698,248,9.3,445,,2966,155,5.8,174
2661,227,245,Skarmory,Air Slash,Brave Bird,5.9,21.2,,8.7,82%,,82%,81%,,2299,8.7,260,36.1%,163,32.6%,155,2108,,909,248,8.7,416,,2034,155,8.7,260
2662,227,245,Skarmory,Air Slash,Sky Attack,5.9,18.9,,10.1,68%,,95%,100%,,1784,10.1,301,41.7%,203,40.4%,155,2108,,547,248,10.1,481,,1695,155,10.1,301
2663,227,245,Skarmory,Air Slash,Flash Cannon,5.9,17.6,,8.6,77%,,81%,83%,,2284,8.6,258,35.7%,168,33.5%,155,2108,,957,248,8.6,412,,2527,155,7.1,212
2664,228,246,Houndour,Feint Attack,Crunch,5.9,10.7,,9.4,27%,,92%,93%,,3758,9.4,97,13.4%,88,17.5%,53,1234,,3897,53,9.4,97,,4247,33,9.4,60
2665,228,246,Houndour,Feint Attack,Flamethrower,5.9,15.5,,10.3,54%,,100%,99%,,3680,10.3,105,14.6%,93,18.5%,53,1234,,3814,53,10.3,105,,4452,33,7.6,49
2666,228,246,Houndour,Feint Attack,Dark Pulse,5.9,13.1,,9.9,44%,,96%,100%,,3691,9.9,101,14.0%,94,18.7%,53,1234,,3856,53,9.9,101,,4216,33,9.9,63
2667,228,246,Houndour,Ember,Crunch,5.3,10.7,,9.3,27%,,90%,94%,,3762,9.3,95,13.2%,88,17.6%,53,1234,,3914,53,9.3,95,,4341,33,8.8,56
2668,228,246,Houndour,Ember,Flamethrower,5.3,15.5,,10.0,54%,,97%,97%,,3706,10.0,102,14.2%,91,18.2%,53,1234,,3845,53,10.0,102,,4578,33,6.2,40
2669,228,246,Houndour,Ember,Dark Pulse,5.3,13.1,,9.6,44%,,93%,100%,,3703,9.6,98,13.6%,94,18.7%,53,1234,,3877,53,9.6,98,,4345,33,8.7,56
2670,229,247,Houndoom,Snarl,Crunch,8.0,15.3,,12.8,34%,,89%,100%,,1495,12.8,284,39.4%,252,50.2%,115,2635,,2025,115,12.8,284,,2913,72,12.8,178
2671,229,247,Houndoom,Snarl,Fire Blast,8.0,23.3,,14.1,60%,,97%,94%,,1468,14.1,312,43.2%,237,47.2%,115,2635,,1765,115,14.1,312,,3245,72,10.6,147
2672,229,247,Houndoom,Snarl,Foul Play,8.0,24.2,,14.4,60%,,100%,92%,,1474,14.4,320,44.3%,231,46.0%,115,2635,,1695,115,14.4,320,,2658,72,14.4,200
2673,229,247,Houndoom,Snarl,Flamethrower,8.0,22.1,,13.9,58%,,96%,90%,,1547,13.9,309,42.8%,227,45.3%,115,2635,,1804,115,13.9,309,,3270,72,10.4,145
2674,229,247,Houndoom,Fire Fang,Crunch,8.9,15.3,,12.9,38%,,90%,99%,,1498,12.9,286,39.7%,250,49.8%,115,2635,,2014,115,12.9,286,,3089,72,11.7,162
2675,229,247,Houndoom,Fire Fang,Fire Blast,8.9,23.3,,14.1,64%,,98%,90%,,1516,14.1,313,43.4%,227,45.2%,115,2635,,1756,115,14.1,313,,3519,72,8.8,122
2676,229,247,Houndoom,Fire Fang,Foul Play,8.9,24.2,,14.4,64%,,100%,90%,,1505,14.4,320,44.4%,225,44.9%,115,2635,,1690,115,14.4,320,,3006,72,12.3,170
2677,229,247,Houndoom,Fire Fang,Flamethrower,8.9,22.1,,14.0,62%,,97%,88%,,1584,14.0,310,43.0%,221,44.2%,115,2635,,1792,115,14.0,310,,3524,72,8.7,121
2678,230,248,Kingdra,Water Gun,Hydro Pump,6.8,24.0,,12.0,70%,LEGACY,95%,71%,,1469,12.0,344,47.7%,214,42.7%,149,2641,,1515,149,12.0,344,,394,383,7.5,551
2679,230,248,Kingdra,Water Gun,Blizzard,6.8,21.3,,11.0,71%,LEGACY,87%,62%,,1822,11.0,315,43.7%,188,37.5%,149,2641,,1734,149,11.0,315,,532,383,6.9,504
2680,230,248,Kingdra,Water Gun,Outrage,6.8,17.3,,12.4,47%,LEGACY,99%,93%,,1002,12.4,356,49.4%,279,55.7%,149,2641,,1422,149,12.4,356,,112,383,11.2,825
2681,230,248,Kingdra,Dragon Breath,Hydro Pump,8.0,24.0,,12.2,74%,,97%,80%,,1283,12.2,352,48.8%,240,47.8%,149,2641,,1466,149,12.2,352,,179,383,9.9,725
2682,230,248,Kingdra,Dragon Breath,Blizzard,8.0,21.3,,11.4,75%,,90%,70%,,1578,11.4,326,45.3%,211,42.0%,149,2641,,1645,149,11.4,326,,207,383,9.3,687
2683,230,248,Kingdra,Dragon Breath,Outrage,8.0,17.3,,12.5,51%,,100%,100%,,788,12.5,361,50.0%,301,60.1%,149,2641,,1379,149,12.5,361,,64,383,12.5,923
2684,230,248,Kingdra,Waterfall,Hydro Pump,8.5,24.0,,12.3,75%,,98%,81%,,1265,12.3,354,49.1%,244,48.6%,149,2641,,1457,149,12.3,354,,375,383,7.7,566
2685,230,248,Kingdra,Waterfall,Blizzard,8.5,21.3,,11.5,77%,,91%,74%,,1476,11.5,330,45.8%,223,44.5%,149,2641,,1606,149,11.5,330,,454,383,7.2,528
2686,230,248,Kingdra,Waterfall,Outrage,8.5,17.3,,12.6,53%,,100%,96%,,892,12.6,362,50.2%,288,57.5%,149,2641,,1371,149,12.6,362,,123,383,10.9,801
2687,231,249,Phanpy,Tackle,Bulldoze,3.8,8.2,,6.4,42%,,100%,92%,,3598,6.4,116,16.1%,97,19.3%,94,1206,,3704,94,6.4,116,,4085,59,6.4,72
2688,231,249,Phanpy,Tackle,Rock Slide,3.8,8.9,,6.3,50%,,99%,85%,,3651,6.3,115,15.9%,90,18.0%,94,1206,,3711,94,6.3,115,,4093,59,6.3,72
2689,231,249,Phanpy,Tackle,Body Slam,3.8,7.9,,6.0,47%,,93%,72%,,3791,6.0,108,15.0%,76,15.1%,94,1206,,3779,94,6.0,108,,4150,59,6.0,68
2690,231,249,Phanpy,Rock Smash,Bulldoze,3.8,8.2,,6.2,46%,,97%,100%,,3562,6.2,113,15.6%,106,21.1%,94,1206,,3560,94,7.2,131,,4114,59,6.2,70
2691,231,249,Phanpy,Rock Smash,Rock Slide,3.8,8.9,,6.1,54%,,96%,92%,,3615,6.1,111,15.4%,97,19.4%,94,1206,,3547,94,7.3,133,,4126,59,6.1,69
2692,231,249,Phanpy,Rock Smash,Body Slam,3.8,7.9,,5.8,51%,,91%,85%,,3698,5.8,105,14.6%,90,17.9%,94,1206,,3622,94,7.0,126,,4178,59,5.8,66
2693,232,250,Donphan,Tackle,Earthquake,6.3,22.3,,11.4,68%,,93%,83%,,1271,11.4,359,49.8%,238,47.4%,163,3013,,1392,163,11.4,359,,2392,102,11.4,224
2694,232,250,Donphan,Tackle,Heavy Slam,6.3,18.5,,10.8,63%,,88%,80%,,1419,10.8,338,46.9%,228,45.5%,163,3013,,1554,163,10.8,338,,3093,102,8.2,161
2695,232,250,Donphan,Tackle,Play Rough,6.3,17.3,,11.3,55%,,92%,92%,,1143,11.3,354,49.1%,263,52.4%,163,3013,,1456,163,11.3,354,,2435,102,11.3,221
2696,232,250,Donphan,Counter,Earthquake,7.9,22.3,,12.3,69%,,100%,88%,,1070,12.3,385,53.4%,253,50.4%,163,3013,,522,163,15.6,488,,2230,102,12.3,241
2697,232,250,Donphan,Counter,Heavy Slam,7.9,18.5,,11.6,65%,,94%,82%,,1267,11.6,364,50.4%,236,47.0%,163,3013,,603,163,14.7,459,,2894,102,9.2,179
2698,232,250,Donphan,Counter,Play Rough,7.9,17.3,,12.0,56%,,97%,93%,,1001,12.0,376,52.1%,266,53.1%,163,3013,,606,163,14.6,459,,2290,102,12.0,235
2699,232,250,Donphan,Mud Slap,Earthquake,7.5,22.3,,12.0,70%,,97%,98%,,877,12.0,376,52.1%,280,55.9%,163,3013,,1226,163,12.0,376,,2289,102,12.0,235
2700,232,250,Donphan,Mud Slap,Heavy Slam,7.5,18.5,,11.3,65%,,92%,90%,,1164,11.3,355,49.2%,257,51.3%,163,3013,,1428,163,11.3,355,,2962,102,8.9,174
2701,232,250,Donphan,Mud Slap,Play Rough,7.5,17.3,,11.7,57%,,95%,100%,,873,11.7,368,51.0%,287,57.2%,163,3013,,1301,163,11.7,368,,2326,102,11.7,230
2702,233,251,Porygon2,Hidden Power,Solar Beam,6.5,19.2,,11.6,59%,,92%,95%,,1097,11.6,342,47.5%,279,55.6%,153,2711,,1527,153,11.6,342,,584,153,16.3,479
2703,233,251,Porygon2,Hidden Power,Hyper Beam,6.5,24.6,,12.7,66%,,100%,100%,,786,12.7,374,51.9%,292,58.3%,153,2711,,1242,153,12.7,374,,1160,153,12.7,374
2704,233,251,Porygon2,Hidden Power,Zap Cannon,6.5,19.7,,11.0,66%,,86%,85%,,1352,11.0,322,44.6%,248,49.5%,153,2711,,1676,153,11.0,322,,758,153,14.9,439
2705,233,251,Porygon2,Hidden Power Normal,Solar Beam,6.5,19.2,,11.6,59%,,92%,95%,,1098,11.6,342,47.5%,279,55.6%,153,2711,,1528,153,11.6,342,,585,153,16.3,479
2706,233,251,Porygon2,Hidden Power Normal,Hyper Beam,6.5,24.6,,12.7,66%,,100%,100%,,787,12.7,374,51.9%,292,58.3%,153,2711,,1243,153,12.7,374,,1161,153,12.7,374
2707,233,251,Porygon2,Hidden Power Normal,Zap Cannon,6.5,19.7,,11.0,66%,,86%,85%,,1353,11.0,322,44.6%,248,49.5%,153,2711,,1677,153,11.0,322,,759,153,14.9,439
2708,233,251,Porygon2,Hidden Power Fighting,Solar Beam,5.5,19.2,,11.0,59%,,87%,91%,,1241,11.0,324,45.0%,266,53.0%,153,2711,,1173,153,13.0,382,,648,153,15.7,461
2709,233,251,Porygon2,Hidden Power Fighting,Hyper Beam,5.5,24.6,,12.0,66%,,95%,95%,,1016,12.0,354,49.1%,278,55.5%,153,2711,,899,153,14.2,418,,1291,153,12.0,354
2710,233,251,Porygon2,Hidden Power Fighting,Zap Cannon,5.5,19.7,,10.3,66%,,81%,80%,,1522,10.3,302,41.8%,234,46.7%,153,2711,,1324,153,12.5,366,,895,153,14.2,419
2711,233,251,Porygon2,Hidden Power Flying,Solar Beam,5.5,19.2,,11.0,59%,,87%,91%,,1242,11.0,324,45.0%,266,53.0%,153,2711,,1654,153,11.0,324,,649,153,15.7,461
2712,233,251,Porygon2,Hidden Power Flying,Hyper Beam,5.5,24.6,,12.0,66%,,95%,95%,,1017,12.0,354,49.1%,278,55.5%,153,2711,,1437,153,12.0,354,,1292,153,12.0,354
